diet_category,description,age_group,sex,total_impact_score,n_participants,mean_ghgs,mean_land,mean_watscar,mean_eut,mean_ghgs_norm,mean_land_norm,mean_watscar_norm,mean_eut_norm
high_meat,Average meat intake 140 g/day (≥100 g/day),20-29,female,0.371,393000,10.191268743064,20.378573320193002,22092.64119835,40.55897416327,0.7902270302614717,0.7204633435553439,0.7888566908640422,0.7605425066206893
high_meat,Average meat intake 140 g/day (≥100 g/day),20-29,male,0.461,132000,12.104782205645,24.3387929863,24385.45583032,49.976520098870004,0.9838873684946461,0.8951960588065656,1.0,1.0
high_meat,Average meat intake 140 g/day (≥100 g/day),30-39,female,0.375,778000,10.421548409817,21.112200345029,22088.09234693,39.66536518666,0.8135328700288367,0.7528324172025344,0.788437791085493,0.7378209433744306
high_meat,Average meat intake 140 g/day (≥100 g/day),30-39,male,0.413,260000,11.178862348943,22.645744469674,23344.169109299997,44.00591223315,0.8901780969727943,0.82049541356359,0.9041088097703788,0.8481869052454991
high_meat,Average meat intake 140 g/day (≥100 g/day),40-49,female,0.404,1935000,11.242124224869,23.997330527419,21672.3632331,40.57825866176,0.8965806211925975,0.8801300605471085,0.7501536578745994,0.7610328485527671
high_meat,Average meat intake 140 g/day (≥100 g/day),40-49,male,0.42,616000,11.493864090237999,24.185439015419,21888.21690015,43.07765507322,0.9220583763416916,0.8884297786539964,0.7700314346972766,0.8245843516452045
high_meat,Average meat intake 140 g/day (≥100 g/day),50-59,female,0.415,1753000,11.574401589788,24.934026384375,21957.74879625,40.68060686677,0.930209309015178,0.9214589322385582,0.7764345666506163,0.7636352297666373
high_meat,Average meat intake 140 g/day (≥100 g/day),50-59,male,0.424,591000,11.678040095756,24.765493737843002,22196.9159694,42.54071115132,0.9406982177750212,0.914022938930147,0.7984592640123017,0.810931618066556
high_meat,Average meat intake 140 g/day (≥100 g/day),60-69,female,0.412,843000,11.520473391645,24.780218875941,22267.71239392,40.29917374579,0.9247514153045205,0.9146726411131679,0.8049788452901405,0.7539366289138985
high_meat,Average meat intake 140 g/day (≥100 g/day),60-69,male,0.414,543000,11.450175664626,24.237669950228,22420.08834903,41.51600199579,0.9176368159783366,0.8907343106822053,0.8190110147233207,0.7848766046369443
high_meat,Average meat intake 140 g/day (≥100 g/day),70-79,female,0.43,274000,11.990853394399,26.031131035218,22709.03190567,41.205292663209995,0.972357012136116,0.9698653568107051,0.8456195760312463,0.7769762791744568
high_meat,Average meat intake 140 g/day (≥100 g/day),70-79,male,0.445,168000,12.263987428482,26.71411593829,22944.25012484,43.00108133287,1.0,1.0,0.8672806176488796,0.8226373310468154
pescatarian,"Includes fish, theoretically no meat ",20-29,female,0.137,1329000,4.902947125081,6.489030806882,17131.963351906,20.98546417884,0.2550135743587311,0.10762928848539528,0.332032174197521,0.2628519543730245
pescatarian,"Includes fish, theoretically no meat ",20-29,male,0.17,163000,5.659688871226,7.381889374139,19671.024653972,24.16296423136,0.3316008915526911,0.14702397235289266,0.5658521254234269,0.34364542254320024
pescatarian,"Includes fish, theoretically no meat ",30-39,female,0.138,2024000,4.942664483793,6.515886259015,17652.628539581,20.94844234705,0.2590332362384649,0.10881420408759246,0.3799797793570089,0.26191060987612835
pescatarian,"Includes fish, theoretically no meat ",30-39,male,0.155,412000,5.327205952942,6.977105921564,18953.095158366,22.64406376393,0.29795140035716905,0.12916412675833697,0.49973862138567726,0.3050247350402538
pescatarian,"Includes fish, theoretically no meat ",40-49,female,0.137,1689000,4.927040172677,6.540681894736,17729.964755823003,20.71379812245,0.2574519516357929,0.10990823652043719,0.3871016043775341,0.2559443721489249
pescatarian,"Includes fish, theoretically no meat ",40-49,male,0.149,432000,5.2018026093489995,6.890941560395,18288.937588674,21.83736510336,0.285259744713924,0.12536238492219623,0.4385769273275862,0.2845130178165212
pescatarian,"Includes fish, theoretically no meat ",50-59,female,0.14,946000,4.9443203337909996,6.566172011315,18446.193258613002,20.98928406101,0.259200819313759,0.11103291082071337,0.453058465463438,0.26294908152437446
pescatarian,"Includes fish, theoretically no meat ",50-59,male,0.146,214000,5.142355789303,6.693609079474,18449.190579349,21.6210952687,0.2792433296208906,0.11665568602524301,0.4533344861281337,0.279013980927784
pescatarian,"Includes fish, theoretically no meat ",60-69,female,0.147,492000,5.103822518681,6.86663521717,18922.366830963998,21.5693218284,0.275343505361582,0.12428994104089318,0.4969088763895469,0.27769755111447175
pescatarian,"Includes fish, theoretically no meat ",60-69,male,0.148,159000,5.153826680613,7.048903698705001,18767.057425435,21.62918783632,0.2804042604083512,0.13233198652536388,0.48260656805371965,0.2792197485418248
